"recoveries","collection_recovery_fee","last_week_pay","int_rate","initial_list_status","loan_status"
0,0,26,19.19,"f","0"
0,0,9,10.99,"w","0"
0,0,9,7.26,"w","0"
0,0,135,19.72,"f","0"
0,0,96,10.64,"w","0"
0,0,113,8.9,"f","0"
0,0,117,7.9,"f","1"
0,0,78,9.17,"f","0"
0,0,44,13.99,"w","0"
0,0,52,17.14,"w","0"
0,0,26,13.33,"f","0"
0,0,95,18.49,"f","1"
0,0,48,6.99,"f","0"
0,0,78,6.03,"f","0"
0,0,82,13.65,"w","1"
0,0,35,15.61,"f","0"
0,0,96,21.7,"f","0"
0,0,26,9.99,"f","0"
0,0,17,10.99,"w","0"
0,0,13,17.86,"w","0"
0,0,31,17.57,"w","0"
0,0,30,13.66,"f","1"
0,0,17,7.89,"w","0"
0,0,78,15.61,"f","0"
0,0,70,12.99,"f","1"
0,0,104,6.62,"f","1"
0,0,35,6.92,"w","0"
0,0,4,17.57,"f","0"
0,0,17,9.99,"w","0"
0,0,91,16.59,"w","0"
0,0,13,12.69,"f","0"
0,0,9,8.18,"f","0"
0,0,4,10.99,"w","0"
0,0,13,18.55,"w","0"
0,0,39,20.49,"f","0"
0,0,39,12.29,"f","0"
0,0,52,8.19,"f","0"
0,0,52,16.49,"f","0"
0,0,35,8.39,"f","1"
0,0,31,18.75,"f","1"
0,0,35,16.99,"f","0"
0,0,13,12.29,"w","0"
0,0,83,10.99,"f","1"
0,0,31,12.69,"f","1"
0,0,104,16.29,"f","0"
0,0,74,6.03,"w","1"
0,0,35,12.69,"f","0"
0,0,22,7.26,"w","0"
0,0,13,9.17,"w","0"
0,0,96,24.08,"f","0"
0,0,22,15.61,"f","0"
0,0,26,13.33,"f","0"
0,0,61,14.31,"w","0"
0,0,13,7.89,"w","0"
0,0,113,12.99,"f","0"
0,0,17,8.67,"w","0"
0,0,17,9.99,"f","0"
0,0,48,11.14,"f","1"
0,0,35,13.99,"w","0"
0,0,17,17.76,"f","1"
0,0,65,17.57,"w","0"
0,0,61,17.86,"w","1"
0,0,113,15.61,"w","0"
0,0,82,14.64,"w","1"
0,0,4,14.48,"w","0"
0,0,39,14.65,"w","0"
0,0,48,17.86,"f","0"
0,0,31,16.55,"f","0"
0,0,17,10.99,"f","0"
0,0,122,23.83,"f","1"
0,0,26,12.69,"w","0"
0,0,104,6.03,"f","0"
0,0,65,12.99,"w","0"
0,0,26,14.65,"f","0"
0,0,31,17.86,"w","0"
0,0,35,18.84,"f","0"
0,0,31,19.99,"f","0"
0,0,31,13.33,"f","0"
0,0,174,14.33,"f","0"
0,0,9,18.2,"f","0"
0,0,91,23.4,"f","1"
0,0,13,9.99,"w","0"
0,0,44,10.99,"w","0"
0,0,52,15.99,"f","0"
0,0,17,7.89,"w","0"
0,0,52,14.99,"f","0"
0,0,26,12.29,"w","0"
0,0,31,19.99,"w","0"
0,0,48,15.61,"f","0"
0,0,70,7.9,"f","1"
0,0,91,18.25,"f","0"
0,0,139,7.9,"w","0"
0,0,52,12.39,"w","0"
0,0,61,8.19,"w","0"
0,0,0,24.99,"f","1"
0,0,17,10.99,"w","0"
0,0,17,10.99,"f","0"
0,0,22,10.99,"w","0"
0,0,4,18.49,"w","0"
0,0,31,15.61,"f","0"
0,0,74,14.99,"w","0"
0,0,26,19.19,"w","0"
0,0,17,12.69,"f","0"
0,0,39,22.99,"f","0"
0,0,57,15.99,"w","0"
0,0,131,10.16,"f","0"
0,0,22,9.99,"f","0"
0,0,13,5.32,"w","0"
0,0,91,6.62,"f","0"
0,0,61,11.99,"f","0"
0,0,156,13.11,"f","0"
0,0,22,9.99,"w","0"
0,0,31,10.99,"w","0"
0,0,52,12.39,"w","0"
0,0,43,7.89,"w","0"
0,0,22,9.17,"w","0"
0,0,17,20.99,"w","1"
0,0,91,13.11,"w","0"
0,0,39,11.44,"w","1"
0,0,39,12.69,"w","0"
0,0,74,13.98,"w","0"
0,0,35,7.89,"w","0"
0,0,65,17.57,"f","0"
0,0,135,11.14,"w","0"
0,0,43,12.29,"f","0"
0,0,95,16.78,"f","1"
0,0,13,16.99,"f","0"
0,0,39,16.55,"f","0"
0,0,35,17.57,"w","0"
0,0,91,18.25,"f","0"
0,0,26,9.17,"w","0"
0,0,83,10.99,"w","0"
0,0,117,18.85,"w","1"
0,0,74,21.99,"f","0"
0,0,26,15.61,"f","0"
0,0,35,8.18,"f","0"
0,0,91,10.64,"f","1"
0,0,113,12.99,"f","0"
0,0,78,14.49,"w","1"
0,0,13,13.33,"w","0"
0,0,65,10.15,"f","0"
